id,name,category,occasion,platform,price,quality_rating,delivery_days,color,size,gender,description,image_keyword
166,Printed Nehru Jacket,Nehru Jacket,Festive,Amazon,2093,4.0,6,Pink,XXL,Male,Printed Nehru Jacket for Festive occasions.,"nehru,jacket,pink"
167,Embroidered Kurta Pajama,Kurta Pajama,Festive,Myntra,5977,4.2,5,Green,M,Male,Embroidered Kurta Pajama for Festive occasions.,"kurta,pajama,green"
168,Colorful Kurta,Kurta,Festive,Manyavar,4397,4.6,5,Turquoise,Free Size,Male,Colorful Kurta for Festive occasions.,"kurta,turquoise"
169,Festive Pathani Suit,Pathani Suit,Festive,Manyavar,2351,4.8,6,Green,S,Male,"Traditional Pathani suit, popular during Eid celebrations.","pathani,suit,green"
170,Colorful Nehru Jacket,Nehru Jacket,Festive,Meesho,3428,4.8,6,Yellow,XXL,Male,Colorful Nehru Jacket for Festive occasions.,"nehru,jacket,yellow"
171,Traditional Kurta Pajama,Kurta Pajama,Festive,Meesho,3337,4.6,6,Purple,XXL,Male,Traditional Kurta Pajama for Festive occasions.,"kurta,pajama,purple"
172,Festive Kurta,Kurta,Festive,Meesho,803,4.8,2,Purple,XS,Male,Festive Kurta for Festive occasions.,"kurta,purple"
173,Embroidered Pathani Suit,Pathani Suit,Festive,Myntra,3527,4.4,4,Turquoise,L,Male,"Traditional Pathani suit, popular during Eid celebrations.","pathani,suit,turquoise"
174,Festive Nehru Jacket,Nehru Jacket,Festive,Meesho,1837,4.8,2,Yellow,XXL,Male,Festive Nehru Jacket for Festive occasions.,"nehru,jacket,yellow"
175,Embroidered Kurta Pajama,Kurta Pajama,Festive,Meesho,2848,4.8,4,Yellow,M,Male,Embroidered Kurta Pajama for Festive occasions.,"kurta,pajama,yellow"
176,Festive Kurta,Kurta,Festive,Meesho,1977,4.4,6,Purple,XL,Male,Festive Kurta for Festive occasions.,"kurta,purple"
177,Vibrant Pathani Suit,Pathani Suit,Festive,Meesho,3390,5.0,2,Red,XL,Male,"Traditional Pathani suit, popular during Eid celebrations.","pathani,suit,red"
178,Embroidered Nehru Jacket,Nehru Jacket,Festive,Meesho,3344,4.5,2,Green,L,Male,Embroidered Nehru Jacket for Festive occasions.,"nehru,jacket,green"
179,Printed Kurta Pajama,Kurta Pajama,Festive,Manyavar,3517,4.2,4,Green,Free Size,Male,Printed Kurta Pajama for Festive occasions.,"kurta,pajama,green"
180,Festive Kurta,Kurta,Festive,Amazon,2222,3.8,4,Pink,M,Male,Festive Kurta for Festive occasions.,"kurta,pink"
181,Colorful Pathani Suit,Pathani Suit,Festive,Myntra,4036,4.6,8,Red,Free Size,Male,"Traditional Pathani suit, popular during Eid celebrations.","pathani,suit,red"
182,Traditional Nehru Jacket,Nehru Jacket,Festive,Myntra,5547,4.0,2,Pink,S,Male,Traditional Nehru Jacket for Festive occasions.,"nehru,jacket,pink"
183,Embroidered Kurta Pajama,Kurta Pajama,Festive,Meesho,1079,4.6,4,Yellow,Free Size,Male,Embroidered Kurta Pajama for Festive occasions.,"kurta,pajama,yellow"
184,Colorful Kurta,Kurta,Festive,Meesho,2837,4.1,3,Yellow,XS,Male,Colorful Kurta for Festive occasions.,"kurta,yellow"
185,Traditional Pathani Suit,Pathani Suit,Festive,Manyavar,4220,4.9,6,Magenta,XL,Male,"Traditional Pathani suit, popular during Eid celebrations.","pathani,suit,magenta"
186,Printed Nehru Jacket,Nehru Jacket,Festive,Myntra,5789,4.1,8,Pink,S,Male,Printed Nehru Jacket for Festive occasions.,"nehru,jacket,pink"
187,Festive Kurta Pajama,Kurta Pajama,Festive,Manyavar,1270,3.9,2,Yellow,S,Male,Festive Kurta Pajama for Festive occasions.,"kurta,pajama,yellow"
188,Embroidered Kurta,Kurta,Festive,Meesho,5477,4.6,4,Turquoise,XXL,Male,Embroidered Kurta for Festive occasions.,"kurta,turquoise"
189,Traditional Pathani Suit,Pathani Suit,Festive,Amazon,1192,4.1,4,Red,XS,Male,"Traditional Pathani suit, popular during Eid celebrations.","pathani,suit,red"
190,Festive Nehru Jacket,Nehru Jacket,Festive,Meesho,4852,4.2,2,Green,Free Size,Male,Festive Nehru Jacket for Festive occasions.,"nehru,jacket,green"
191,Printed Kurta Pajama,Kurta Pajama,Festive,Meesho,1066,4.0,5,Orange,XS,Male,Printed Kurta Pajama for Festive occasions.,"kurta,pajama,orange"
192,Traditional Kurta,Kurta,Festive,Amazon,2776,4.8,3,Purple,S,Male,Traditional Kurta for Festive occasions.,"kurta,purple"
193,Embroidered Pathani Suit,Pathani Suit,Festive,Manyavar,1568,4.7,5,Magenta,S,Male,"Traditional Pathani suit, popular during Eid celebrations.","pathani,suit,magenta"
194,Traditional Nehru Jacket,Nehru Jacket,Festive,Manyavar,1167,4.2,7,Orange,XXL,Male,Traditional Nehru Jacket for Festive occasions.,"nehru,jacket,orange"
195,Embroidered Kurta Pajama,Kurta Pajama,Festive,Myntra,4142,4.5,5,Magenta,S,Male,Embroidered Kurta Pajama for Festive occasions.,"kurta,pajama,magenta"
196,Colorful Kurta,Kurta,Festive,Meesho,5973,4.8,4,Turquoise,L,Male,Colorful Kurta for Festive occasions.,"kurta,turquoise"
197,Colorful Pathani Suit,Pathani Suit,Festive,Amazon,4456,4.0,5,Magenta,XXL,Male,"Traditional Pathani suit, popular during Eid celebrations.","pathani,suit,magenta"
198,Festive Nehru Jacket,Nehru Jacket,Festive,Myntra,4967,3.9,2,Orange,Free Size,Male,Festive Nehru Jacket for Festive occasions.,"nehru,jacket,orange"
199,Vibrant Kurta Pajama,Kurta Pajama,Festive,Manyavar,3405,4.5,5,Turquoise,XS,Male,Vibrant Kurta Pajama for Festive occasions.,"kurta,pajama,turquoise"
200,Traditional Kurta,Kurta,Festive,Meesho,4696,4.8,2,Pink,Free Size,Male,Traditional Kurta for Festive occasions.,"kurta,pink"
201,Everyday Kurti,Kurti,Casual,Manyavar,1740,4.1,4,Mustard,XXL,Female,"Everyday cotton kurti, comfortable and breathable for daily wear.","kurti,mustard"
202,Everyday Salwar Kameez,Salwar Kameez,Casual,Meesho,2143,4.6,2,Mustard,XXL,Female,Everyday Salwar Kameez for Casual occasions.,"salwar,kameez,mustard"
203,Lightweight T-shirt,T-shirt,Casual,Manyavar,1773,3.9,3,Black,S,Female,Lightweight T-shirt for Casual occasions.,"t-shirt,black"
204,Comfortable Cotton Dress,Cotton Dress,Casual,Manyavar,586,4.5,5,Grey,L,Female,Comfortable Cotton Dress for Casual occasions.,"cotton,dress,grey"
205,Comfortable Kurti,Kurti,Casual,Meesho,2263,4.7,8,Mustard,XS,Female,"Everyday cotton kurti, comfortable and breathable for daily wear.","kurti,mustard"
206,Basic Salwar Kameez,Salwar Kameez,Casual,Amazon,2185,4.5,5,White,XL,Female,Basic Salwar Kameez for Casual occasions.,"salwar,kameez,white"
207,Lightweight T-shirt,T-shirt,Casual,Manyavar,2489,4.6,5,White,L,Female,Lightweight T-shirt for Casual occasions.,"t-shirt,white"
208,Relaxed Cotton Dress,Cotton Dress,Casual,Meesho,1495,4.9,7,Mustard,XXL,Female,Relaxed Cotton Dress for Casual occasions.,"cotton,dress,mustard"
209,Lightweight Kurti,Kurti,Casual,Myntra,742,4.0,6,Mustard,XL,Female,"Everyday cotton kurti, comfortable and breathable for daily wear.","kurti,mustard"
210,Lightweight Salwar Kameez,Salwar Kameez,Casual,Amazon,1203,4.2,5,White,M,Female,Lightweight Salwar Kameez for Casual occasions.,"salwar,kameez,white"
211,Lightweight T-shirt,T-shirt,Casual,Manyavar,610,4.1,4,Mustard,XS,Female,Lightweight T-shirt for Casual occasions.,"t-shirt,mustard"
212,Everyday Cotton Dress,Cotton Dress,Casual,Meesho,619,4.6,3,Navy,S,Female,Everyday Cotton Dress for Casual occasions.,"cotton,dress,navy"
213,Everyday Kurti,Kurti,Casual,Manyavar,1181,4.5,7,Navy,S,Female,"Everyday cotton kurti, comfortable and breathable for daily wear.","kurti,navy"
214,Comfortable Salwar Kameez,Salwar Kameez,Casual,Myntra,1891,4.5,6,Olive,L,Female,Comfortable Salwar Kameez for Casual occasions.,"salwar,kameez,olive"
215,Relaxed T-shirt,T-shirt,Casual,Manyavar,793,4.6,8,Olive,XXL,Female,Relaxed T-shirt for Casual occasions.,"t-shirt,olive"
216,Lightweight Cotton Dress,Cotton Dress,Casual,Amazon,888,4.8,2,Mustard,XXL,Female,Lightweight Cotton Dress for Casual occasions.,"cotton,dress,mustard"
217,Relaxed Kurti,Kurti,Casual,Meesho,1863,4.1,3,Navy,XS,Female,"Everyday cotton kurti, comfortable and breathable for daily wear.","kurti,navy"
218,Cotton Salwar Kameez,Salwar Kameez,Casual,Myntra,1210,5.0,5,Mustard,S,Female,Cotton Salwar Kameez for Casual occasions.,"salwar,kameez,mustard"
219,Comfortable T-shirt,T-shirt,Casual,Amazon,719,4.2,8,Mustard,XS,Female,Comfortable T-shirt for Casual occasions.,"t-shirt,mustard"
220,Lightweight Cotton Dress,Cotton Dress,Casual,Manyavar,914,3.9,2,Coral,M,Female,Lightweight Cotton Dress for Casual occasions.,"cotton,dress,coral"
221,Relaxed Kurti,Kurti,Casual,Myntra,702,4.4,3,White,XL,Female,"Everyday cotton kurti, comfortable and breathable for daily wear.","kurti,white"
222,Everyday Salwar Kameez,Salwar Kameez,Casual,Manyavar,971,4.4,5,Olive,XXL,Female,Everyday Salwar Kameez for Casual occasions.,"salwar,kameez,olive"
223,Comfortable T-shirt,T-shirt,Casual,Meesho,2472,4.4,3,Denim Blue,XL,Female,Comfortable T-shirt for Casual occasions.,"t-shirt,denim blue"
224,Everyday Cotton Dress,Cotton Dress,Casual,Meesho,2383,3.8,6,Black,S,Female,Everyday Cotton Dress for Casual occasions.,"cotton,dress,black"
225,Cotton Kurti,Kurti,Casual,Myntra,896,4.9,7,Olive,XXL,Female,"Everyday cotton kurti, comfortable and breathable for daily wear.","kurti,olive"
226,Basic Salwar Kameez,Salwar Kameez,Casual,Meesho,1320,4.8,3,Mustard,XXL,Female,Basic Salwar Kameez for Casual occasions.,"salwar,kameez,mustard"
227,Basic T-shirt,T-shirt,Casual,Meesho,697,4.2,5,Black,XL,Female,Basic T-shirt for Casual occasions.,"t-shirt,black"
228,Basic Cotton Dress,Cotton Dress,Casual,Myntra,1858,4.7,7,Navy,Free Size,Female,Basic Cotton Dress for Casual occasions.,"cotton,dress,navy"
229,Lightweight Kurti,Kurti,Casual,Meesho,1732,4.1,3,Coral,XL,Female,"Everyday cotton kurti, comfortable and breathable for daily wear.","kurti,coral"
230,Everyday Salwar Kameez,Salwar Kameez,Casual,Myntra,1222,4.6,8,Black,L,Female,Everyday Salwar Kameez for Casual occasions.,"salwar,kameez,black"
231,Relaxed T-shirt,T-shirt,Casual,Manyavar,1841,4.9,7,White,Free Size,Female,Relaxed T-shirt for Casual occasions.,"t-shirt,white"
232,Lightweight Cotton Dress,Cotton Dress,Casual,Meesho,1053,4.0,5,Mustard,XS,Female,Lightweight Cotton Dress for Casual occasions.,"cotton,dress,mustard"
233,Cotton Kurti,Kurti,Casual,Myntra,635,3.8,3,Black,XS,Female,"Everyday cotton kurti, comfortable and breathable for daily wear.","kurti,black"
234,Relaxed Salwar Kameez,Salwar Kameez,Casual,Amazon,1147,4.6,7,Olive,Free Size,Female,Relaxed Salwar Kameez for Casual occasions.,"salwar,kameez,olive"
235,Comfortable T-shirt,T-shirt,Casual,Amazon,1778,4.9,8,Coral,Free Size,Female,Comfortable T-shirt for Casual occasions.,"t-shirt,coral"
236,Relaxed Cotton Dress,Cotton Dress,Casual,Meesho,2059,4.9,8,Navy,S,Female,Relaxed Cotton Dress for Casual occasions.,"cotton,dress,navy"
237,Everyday Kurti,Kurti,Casual,Myntra,2299,4.0,8,White,S,Female,"Everyday cotton kurti, comfortable and breathable for daily wear.","kurti,white"
238,Comfortable Salwar Kameez,Salwar Kameez,Casual,Manyavar,584,4.3,6,Black,XL,Female,Comfortable Salwar Kameez for Casual occasions.,"salwar,kameez,black"
239,Comfortable T-shirt,T-shirt,Casual,Myntra,2139,4.2,3,Mustard,XXL,Female,Comfortable T-shirt for Casual occasions.,"t-shirt,mustard"
240,Everyday Cotton Dress,Cotton Dress,Casual,Amazon,1256,4.9,2,Grey,XS,Female,Everyday Cotton Dress for Casual occasions.,"cotton,dress,grey"
241,Everyday Kurti,Kurti,Casual,Manyavar,1613,4.8,6,Coral,Free Size,Female,"Everyday cotton kurti, comfortable and breathable for daily wear.","kurti,coral"
242,Relaxed Salwar Kameez,Salwar Kameez,Casual,Myntra,2213,4.9,5,Navy,S,Female,Relaxed Salwar Kameez for Casual occasions.,"salwar,kameez,navy"
243,Lightweight T-shirt,T-shirt,Casual,Myntra,1665,4.5,6,Mustard,S,Female,Lightweight T-shirt for Casual occasions.,"t-shirt,mustard"
244,Basic Cotton Dress,Cotton Dress,Casual,Myntra,583,4.6,6,Grey,XS,Female,Basic Cotton Dress for Casual occasions.,"cotton,dress,grey"
245,Comfortable Kurti,Kurti,Casual,Amazon,1826,3.9,4,Denim Blue,M,Female,"Everyday cotton kurti, comfortable and breathable for daily wear.","kurti,denim blue"
246,Cotton Salwar Kameez,Salwar Kameez,Casual,Myntra,1428,4.7,3,Denim Blue,XS,Female,Cotton Salwar Kameez for Casual occasions.,"salwar,kameez,denim blue"
247,Comfortable T-shirt,T-shirt,Casual,Amazon,1606,4.0,5,Navy,S,Female,Comfortable T-shirt for Casual occasions.,"t-shirt,navy"
248,Everyday Cotton Dress,Cotton Dress,Casual,Amazon,2403,4.8,7,Navy,XS,Female,Everyday Cotton Dress for Casual occasions.,"cotton,dress,navy"
249,Relaxed Kurti,Kurti,Casual,Manyavar,1565,4.8,6,Black,L,Female,"Everyday cotton kurti, comfortable and breathable for daily wear.","kurti,black"
250,Lightweight Salwar Kameez,Salwar Kameez,Casual,Amazon,1493,4.6,6,Grey,L,Female,Lightweight Salwar Kameez for Casual occasions.,"salwar,kameez,grey"
251,Comfortable T-shirt,T-shirt,Casual,Manyavar,1307,3.9,5,Mustard,Free Size,Male,Comfortable cotton t-shirt for daily casual wear.,"t-shirt,mustard"
252,Relaxed Casual Shirt,Casual Shirt,Casual,Amazon,1905,4.1,3,Denim Blue,S,Male,Relaxed Casual Shirt for Casual occasions.,"casual,shirt,denim blue"
253,Everyday Track Pants,Track Pants,Casual,Myntra,930,5.0,8,Navy,XXL,Male,Everyday Track Pants for Casual occasions.,"track,pants,navy"
254,Relaxed Joggers,Joggers,Casual,Myntra,1056,4.2,3,Black,Free Size,Male,Relaxed Joggers for Casual occasions.,"joggers,black"
255,Comfortable T-shirt,T-shirt,Casual,Meesho,963,4.1,7,Black,M,Male,Comfortable cotton t-shirt for daily casual wear.,"t-shirt,black"
256,Relaxed Casual Shirt,Casual Shirt,Casual,Amazon,1154,4.3,3,Mustard,XS,Male,Relaxed Casual Shirt for Casual occasions.,"casual,shirt,mustard"
257,Basic Track Pants,Track Pants,Casual,Manyavar,1804,4.0,6,Olive,Free Size,Male,Basic Track Pants for Casual occasions.,"track,pants,olive"
258,Relaxed Joggers,Joggers,Casual,Myntra,551,4.2,4,Navy,S,Male,Relaxed Joggers for Casual occasions.,"joggers,navy"
259,Cotton T-shirt,T-shirt,Casual,Myntra,2005,3.9,4,Olive,L,Male,Comfortable cotton t-shirt for daily casual wear.,"t-shirt,olive"
260,Basic Casual Shirt,Casual Shirt,Casual,Manyavar,968,4.7,5,Grey,M,Male,Basic Casual Shirt for Casual occasions.,"casual,shirt,grey"
261,Relaxed Track Pants,Track Pants,Casual,Myntra,824,4.8,3,Denim Blue,XS,Male,Relaxed Track Pants for Casual occasions.,"track,pants,denim blue"
262,Relaxed Joggers,Joggers,Casual,Meesho,615,4.9,5,Grey,L,Male,Relaxed Joggers for Casual occasions.,"joggers,grey"
263,Cotton T-shirt,T-shirt,Casual,Meesho,1716,4.9,6,Navy,S,Male,Comfortable cotton t-shirt for daily casual wear.,"t-shirt,navy"
264,Comfortable Casual Shirt,Casual Shirt,Casual,Amazon,2044,4.3,7,White,XL,Male,Comfortable Casual Shirt for Casual occasions.,"casual,shirt,white"
265,Comfortable Track Pants,Track Pants,Casual,Meesho,735,4.4,8,White,L,Male,Comfortable Track Pants for Casual occasions.,"track,pants,white"
266,Lightweight Joggers,Joggers,Casual,Amazon,2462,4.6,2,Mustard,L,Male,Lightweight Joggers for Casual occasions.,"joggers,mustard"
267,Lightweight T-shirt,T-shirt,Casual,Myntra,1246,4.9,7,Coral,M,Male,Comfortable cotton t-shirt for daily casual wear.,"t-shirt,coral"
268,Comfortable Casual Shirt,Casual Shirt,Casual,Amazon,2011,4.9,2,Coral,XXL,Male,Comfortable Casual Shirt for Casual occasions.,"casual,shirt,coral"
269,Cotton Track Pants,Track Pants,Casual,Manyavar,506,4.4,8,Black,S,Male,Cotton Track Pants for Casual occasions.,"track,pants,black"
270,Everyday Joggers,Joggers,Casual,Meesho,1811,4.4,2,Denim Blue,L,Male,Everyday Joggers for Casual occasions.,"joggers,denim blue"
271,Lightweight T-shirt,T-shirt,Casual,Manyavar,1185,4.9,2,Olive,Free Size,Male,Comfortable cotton t-shirt for daily casual wear.,"t-shirt,olive"
272,Comfortable Casual Shirt,Casual Shirt,Casual,Myntra,1717,3.9,8,Navy,XL,Male,Comfortable Casual Shirt for Casual occasions.,"casual,shirt,navy"
273,Comfortable Track Pants,Track Pants,Casual,Myntra,1070,3.8,3,Olive,XL,Male,Comfortable Track Pants for Casual occasions.,"track,pants,olive"
274,Everyday Joggers,Joggers,Casual,Myntra,1936,4.1,7,Grey,S,Male,Everyday Joggers for Casual occasions.,"joggers,grey"
275,Everyday T-shirt,T-shirt,Casual,Amazon,697,4.0,8,Olive,XS,Male,Comfortable cotton t-shirt for daily casual wear.,"t-shirt,olive"
276,Relaxed Casual Shirt,Casual Shirt,Casual,Amazon,2315,4.8,6,Denim Blue,S,Male,Relaxed Casual Shirt for Casual occasions.,"casual,shirt,denim blue"
277,Comfortable Track Pants,Track Pants,Casual,Amazon,703,4.4,5,Mustard,Free Size,Male,Comfortable Track Pants for Casual occasions.,"track,pants,mustard"
278,Lightweight Joggers,Joggers,Casual,Myntra,2219,4.9,8,Denim Blue,M,Male,Lightweight Joggers for Casual occasions.,"joggers,denim blue"
279,Cotton T-shirt,T-shirt,Casual,Manyavar,1988,4.0,6,Navy,XS,Male,Comfortable cotton t-shirt for daily casual wear.,"t-shirt,navy"
280,Basic Casual Shirt,Casual Shirt,Casual,Meesho,943,4.8,3,Mustard,XS,Male,Basic Casual Shirt for Casual occasions.,"casual,shirt,mustard"
281,Comfortable Track Pants,Track Pants,Casual,Myntra,618,4.8,5,Coral,S,Male,Comfortable Track Pants for Casual occasions.,"track,pants,coral"
282,Everyday Joggers,Joggers,Casual,Amazon,665,4.9,5,Mustard,XXL,Male,Everyday Joggers for Casual occasions.,"joggers,mustard"
283,Comfortable T-shirt,T-shirt,Casual,Myntra,2447,4.4,6,Black,XXL,Male,Comfortable cotton t-shirt for daily casual wear.,"t-shirt,black"
284,Cotton Casual Shirt,Casual Shirt,Casual,Meesho,2061,4.5,3,Mustard,XS,Male,Cotton Casual Shirt for Casual occasions.,"casual,shirt,mustard"
285,Cotton Track Pants,Track Pants,Casual,Meesho,913,4.9,7,Black,XXL,Male,Cotton Track Pants for Casual occasions.,"track,pants,black"
286,Cotton Joggers,Joggers,Casual,Manyavar,2319,4.1,6,Black,XS,Male,Cotton Joggers for Casual occasions.,"joggers,black"
287,Relaxed T-shirt,T-shirt,Casual,Manyavar,2130,4.9,3,Black,L,Male,Comfortable cotton t-shirt for daily casual wear.,"t-shirt,black"
288,Everyday Casual Shirt,Casual Shirt,Casual,Myntra,651,4.6,5,Mustard,XL,Male,Everyday Casual Shirt for Casual occasions.,"casual,shirt,mustard"
289,Comfortable Track Pants,Track Pants,Casual,Myntra,2354,4.4,4,Olive,L,Male,Comfortable Track Pants for Casual occasions.,"track,pants,olive"
290,Everyday Joggers,Joggers,Casual,Amazon,1282,4.1,7,Coral,S,Male,Everyday Joggers for Casual occasions.,"joggers,coral"
291,Comfortable T-shirt,T-shirt,Casual,Manyavar,1581,4.7,6,Navy,Free Size,Male,Comfortable cotton t-shirt for daily casual wear.,"t-shirt,navy"
292,Cotton Casual Shirt,Casual Shirt,Casual,Meesho,1816,3.9,8,Black,XXL,Male,Cotton Casual Shirt for Casual occasions.,"casual,shirt,black"
293,Relaxed Track Pants,Track Pants,Casual,Meesho,1811,4.7,7,Navy,XS,Male,Relaxed Track Pants for Casual occasions.,"track,pants,navy"
294,Relaxed Joggers,Joggers,Casual,Manyavar,2439,4.1,5,Grey,S,Male,Relaxed Joggers for Casual occasions.,"joggers,grey"
295,Everyday T-shirt,T-shirt,Casual,Meesho,1641,4.3,8,Navy,XL,Male,Comfortable cotton t-shirt for daily casual wear.,"t-shirt,navy"
296,Comfortable Casual Shirt,Casual Shirt,Casual,Meesho,975,4.9,8,Grey,M,Male,Comfortable Casual Shirt for Casual occasions.,"casual,shirt,grey"
297,Basic Track Pants,Track Pants,Casual,Amazon,1901,4.2,6,Grey,XS,Male,Basic Track Pants for Casual occasions.,"track,pants,grey"
298,Cotton Joggers,Joggers,Casual,Manyavar,1486,4.1,8,White,XL,Male,Cotton Joggers for Casual occasions.,"joggers,white"
299,Comfortable T-shirt,T-shirt,Casual,Amazon,723,4.8,6,Mustard,S,Male,Comfortable cotton t-shirt for daily casual wear.,"t-shirt,mustard"
300,Comfortable Casual Shirt,Casual Shirt,Casual,Manyavar,2454,4.2,5,Olive,Free Size,Male,Comfortable Casual Shirt for Casual occasions.,"casual,shirt,olive"
301,Structured Formal Kurti,Formal Kurti,Office,Myntra,2275,4.3,7,Grey,XS,Female,Professional formal kurti suitable for office environments.,"formal,kurti,grey"
302,Professional Saree,Saree,Office,Myntra,671,4.6,5,Charcoal,XS,Female,Professional Saree for Office occasions.,"saree,charcoal"
303,Professional Shirt,Shirt,Office,Manyavar,598,4.6,6,Light Blue,S,Female,Professional Shirt for Office occasions.,"shirt,light blue"
304,Crisp Blazer,Blazer,Office,Meesho,3240,4.4,6,Cream,XS,Female,Crisp Blazer for Office occasions.,"blazer,cream"
305,Structured Formal Trousers,Formal Trousers,Office,Amazon,4140,4.5,2,Charcoal,M,Female,Structured Formal Trousers for Office occasions.,"formal,trousers,charcoal"
306,Crisp Formal Kurti,Formal Kurti,Office,Manyavar,2530,4.3,7,Cream,Free Size,Female,Professional formal kurti suitable for office environments.,"formal,kurti,cream"
307,Structured Saree,Saree,Office,Amazon,2509,4.0,7,Light Blue,XXL,Female,Structured Saree for Office occasions.,"saree,light blue"
308,Crisp Shirt,Shirt,Office,Myntra,976,4.5,6,Grey,L,Female,Crisp Shirt for Office occasions.,"shirt,grey"
309,Tailored Blazer,Blazer,Office,Meesho,3258,5.0,4,Black,M,Female,Tailored Blazer for Office occasions.,"blazer,black"
310,Formal Formal Trousers,Formal Trousers,Office,Manyavar,1609,4.6,2,Grey,XXL,Female,Formal Formal Trousers for Office occasions.,"formal,trousers,grey"
311,Crisp Formal Kurti,Formal Kurti,Office,Amazon,1395,4.3,7,Light Blue,Free Size,Female,Professional formal kurti suitable for office environments.,"formal,kurti,light blue"
312,Classic Saree,Saree,Office,Amazon,4070,4.2,6,Navy,XS,Female,Classic Saree for Office occasions.,"saree,navy"
313,Classic Shirt,Shirt,Office,Myntra,1734,4.7,4,Navy,L,Female,Classic Shirt for Office occasions.,"shirt,navy"
314,Crisp Blazer,Blazer,Office,Amazon,3474,4.6,6,Light Blue,Free Size,Female,Crisp Blazer for Office occasions.,"blazer,light blue"
315,Tailored Formal Trousers,Formal Trousers,Office,Myntra,3062,4.4,7,Cream,XS,Female,Tailored Formal Trousers for Office occasions.,"formal,trousers,cream"
316,Classic Formal Kurti,Formal Kurti,Office,Myntra,886,4.1,8,Black,XS,Female,Professional formal kurti suitable for office environments.,"formal,kurti,black"
317,Tailored Saree,Saree,Office,Manyavar,1273,4.4,4,White,XS,Female,Tailored Saree for Office occasions.,"saree,white"
318,Professional Shirt,Shirt,Office,Manyavar,1416,4.2,4,Grey,L,Female,Professional Shirt for Office occasions.,"shirt,grey"
319,Formal Blazer,Blazer,Office,Myntra,1182,4.0,2,Beige,XS,Female,Formal Blazer for Office occasions.,"blazer,beige"
320,Crisp Formal Trousers,Formal Trousers,Office,Myntra,3964,4.8,5,Beige,XS,Female,Crisp Formal Trousers for Office occasions.,"formal,trousers,beige"
321,Structured Formal Kurti,Formal Kurti,Office,Meesho,2366,4.0,4,Beige,XS,Female,Professional formal kurti suitable for office environments.,"formal,kurti,beige"
322,Crisp Saree,Saree,Office,Meesho,4223,4.2,6,Navy,XXL,Female,Crisp Saree for Office occasions.,"saree,navy"
323,Structured Shirt,Shirt,Office,Manyavar,1337,4.9,6,Light Blue,M,Female,Structured Shirt for Office occasions.,"shirt,light blue"
324,Structured Blazer,Blazer,Office,Meesho,3555,5.0,4,Cream,M,Female,Structured Blazer for Office occasions.,"blazer,cream"
325,Classic Formal Trousers,Formal Trousers,Office,Meesho,3019,4.7,2,White,Free Size,Female,Classic Formal Trousers for Office occasions.,"formal,trousers,white"
326,Classic Formal Kurti,Formal Kurti,Office,Manyavar,2694,4.9,3,Grey,S,Female,Professional formal kurti suitable for office environments.,"formal,kurti,grey"
327,Crisp Saree,Saree,Office,Myntra,674,4.9,5,Cream,M,Female,Crisp Saree for Office occasions.,"saree,cream"
328,Crisp Shirt,Shirt,Office,Amazon,1137,3.8,2,Cream,M,Female,Crisp Shirt for Office occasions.,"shirt,cream"
329,Professional Blazer,Blazer,Office,Manyavar,2469,4.5,7,Light Blue,XXL,Female,Professional Blazer for Office occasions.,"blazer,light blue"
330,Classic Formal Trousers,Formal Trousers,Office,Meesho,886,4.1,4,Beige,XS,Female,Classic Formal Trousers for Office occasions.,"formal,trousers,beige"
331,Formal Formal Kurti,Formal Kurti,Office,Manyavar,779,4.2,6,Charcoal,XL,Female,Professional formal kurti suitable for office environments.,"formal,kurti,charcoal"
332,Formal Saree,Saree,Office,Amazon,3744,4.8,8,Grey,Free Size,Female,Formal Saree for Office occasions.,"saree,grey"
333,Crisp Shirt,Shirt,Office,Myntra,3572,4.3,3,Beige,M,Female,Crisp Shirt for Office occasions.,"shirt,beige"
334,Formal Blazer,Blazer,Office,Myntra,4687,4.2,8,Beige,Free Size,Female,Formal Blazer for Office occasions.,"blazer,beige"
335,Professional Formal Trousers,Formal Trousers,Office,Amazon,3532,4.6,7,Beige,Free Size,Female,Professional Formal Trousers for Office occasions.,"formal,trousers,beige"
336,Tailored Formal Kurti,Formal Kurti,Office,Meesho,1618,3.9,6,Cream,S,Female,Professional formal kurti suitable for office environments.,"formal,kurti,cream"
337,Crisp Saree,Saree,Office,Amazon,1502,4.7,3,Cream,S,Female,Crisp Saree for Office occasions.,"saree,cream"
338,Professional Shirt,Shirt,Office,Amazon,3117,3.8,4,Charcoal,S,Female,Professional Shirt for Office occasions.,"shirt,charcoal"
339,Classic Blazer,Blazer,Office,Manyavar,4859,4.1,2,Light Blue,XS,Female,Classic Blazer for Office occasions.,"blazer,light blue"
340,Professional Formal Trousers,Formal Trousers,Office,Myntra,804,4.9,8,Navy,S,Female,Professional Formal Trousers for Office occasions.,"formal,trousers,navy"
341,Tailored Formal Kurti,Formal Kurti,Office,Meesho,4297,4.4,7,Grey,Free Size,Female,Professional formal kurti suitable for office environments.,"formal,kurti,grey"
342,Classic Saree,Saree,Office,Manyavar,635,4.3,8,Grey,M,Female,Classic Saree for Office occasions.,"saree,grey"
343,Classic Shirt,Shirt,Office,Meesho,2370,4.0,8,Charcoal,L,Female,Classic Shirt for Office occasions.,"shirt,charcoal"
